Company,Investory Type,Portfolio,Category
Schrödinger,"Investor, Industry/Strategic","Schrödinger's portfolio includes the following companies and collaborations:

1. **Novartis**: Schrödinger has a multi-target collaboration and expanded software licensing agreement with Novartis[5].
2. **Collaborative and Proprietary Programs**: Schrödinger is advancing three clinical-stage oncology programs[1].
3. **Co-Founded Companies**: While specific co-founded companies are not listed, Schrödinger collaborates with various biotechnology, pharmaceutical, and industrial companies, as well as academic institutions[1].

These collaborations and programs are part of Schrödinger's strategic priorities for 2025, which include advancing both proprietary and collaborative discovery programs[4].","Schrödinger invests in the following categories of companies:

- **Biotechnology**
- **Pharmaceutical**
- **Industrial**
- **Academic institutions**

These categories are based on the information provided in the sources, which mention Schrödinger's licensing of its software platform to these types of organizations[4]."
Slow Ventures,Investor,"Slow Ventures' current portfolio includes a wide range of blockchain and cryptocurrency projects, as well as other early-stage investments. Here are some of the specific companies mentioned in their portfolio:

- **Solana** - 590.0x ROI[1]
- **Sui** - 13.8x ROI, 6.2% Top Gainer[1]
- **Ampleforth** - 1.22x ROI, 1.34% Top Gainer[1]
- **Lightning Labs** - 1.0x ROI[1]
- **Radar** - 1.0x ROI[1]
- **Chia Network** - 5.22% Top Gainer[1]
- **Helium** - 1.2% Top Gainer[1]

For a comprehensive list, refer to the detailed portfolio information available on Dealroom.co, which lists 381 companies in Slow Ventures' portfolio[2]. However, the exact list of all 381 companies is not provided in the sources.","Slow Ventures invests in a wide range of blockchain and cryptocurrency projects, including decentralized finance (DeFi), non-fungible tokens (NFTs), infrastructure projects, and more[1]. They also invest in early-stage companies across various sectors such as commercial products, commercial services, consumer services, financial services, and pharmaceuticals[4]. 

### Categories of Companies Invested in by Slow Ventures:
- **Blockchain and Cryptocurrency Projects:**
  - Decentralized finance (DeFi)
  - Non-fungible tokens (NFTs)
  - Infrastructure projects

- **Early-Stage Companies:**
  - Commercial products
  - Commercial services
  - Consumer services
  - Financial services
  - Pharmaceuticals

- **Other Sectors:**
  - Various other sectors as generalists[3]."
SOSV,Investor,"SOSV's current portfolio includes the following companies, which are active and operating in various sectors related to health and technology:

1. **NotCo** - Food technology company producing plant-based meat and dairy alternatives using AI algorithms.
2. **R-Zero** - UV-C disinfection for businesses.
3. **OpenTrons** - Liquid-handling robot for laboratory automation.
4. **Upside Foods** - Making your favorite food a force for good.
5. **Novoloop (fka BioCellection)** - Sustainable materials for a changing planet.
6. **Perfect Day** - Sustainable, animal-free dairy and protein.
7. **Deepspin** - The first truly low-cost MRI machine.
8. **Geltor** - Safe, sustainable, animal-free gelatin.
9. **Prellis Biologics** - Human tissue printing and pharmaceutical development.
10. **Neptune Robotics** - An underwater drone for the marine industry.

These companies are part of SOSV's diverse portfolio, which includes startups from various fields such as assistive robotics, therapeutics, diagnostics, and remote care[2][4].","SOSV invests in the following categories of companies:

- **Assistive Robotics**
- **Therapeutics**
- **Diagnostics**
- **Remote Care**
- **Food Technology**
- **UV-C Disinfection**
- **Liquid-handling Robot for Laboratory Automation**
- **Sustainable Materials**
- **Animal-free Dairy and Protein**
- **Low-cost MRI Machine**
- **Animal-free Gelatin**
- **Human Tissue Printing and Pharmaceutical Development**
- **Underwater Drone for the Marine Industry**

These categories are based on the companies listed in the SOSV portfolio, which includes NotCo, R-Zero, OpenTrons, Novoloop, Perfect Day, Deepspin, Geltor, Prellis Biologics, and Neptune Robotics[1]."
SRI Capital,Investor,"The current companies in the portfolio of SRI Capital are not explicitly listed in the provided sources. However, SRI Capital is an early-stage venture capital firm focusing on entrepreneurs and startups, particularly in the areas of enterprise tech, consumer, and health/bio sectors[2][5]. For the most accurate and up-to-date information, it is recommended to visit the SRI Capital website or contact them directly.

If you need a list of companies they have invested in historically, SRI Capital has invested in various startups, but specific current portfolio companies are not detailed in the sources provided[1][2][5].","SRI Capital invests in the following categories of companies:
- **Enterprise Tech**
- **Consumer**
- **Health/Bio**[1]"
TechU Ventures,Investor,"The information provided does not specify the companies in the portfolio of TechU Ventures, as it is not mentioned in the search results. However, if you are referring to Comcast Ventures, which is a venture capital firm based in New York and operates in the US, here are the preferred industries and stages they invest in:

- **Preferred industries:** data & AI, enabling technology, energy & sustainability, future of work, health tech, and proptech
- **Company stage:** seed to growth

For a more accurate list of companies in their active portfolio, you would need to refer to specific investment announcements or the firm's official portfolio updates[4].","TechU Ventures has made 14 investments, but the specific companies in their portfolio are not detailed in the provided sources. However, TechU Ventures' latest investment was in SoundHealth as part of their Seed VC - II on July 23, 2024[1]. The category of companies they invest in is not explicitly stated in the available information. 

For a comprehensive understanding of their investment focus, additional specific data or a detailed portfolio list from TechU Ventures would be necessary. However, based on the general trend of venture capital firms, TechU Ventures likely invests in a variety of sectors including technology, healthcare, and possibly sustainability, given the broader context of venture capital trends[1][5]."
Teem Ventures,"Investor, Potential Startup Customer","The information provided does not specify the current companies in the portfolio of Team Ventures. The source only mentions that Team Ventures invests in private and public companies to promote entrepreneurship and foster institutional development by injecting equity capital, but it does not list specific companies in their active portfolio[1]. Therefore, there is no list of companies currently in their active portfolio available from the provided sources.","Teem Ventures does not provide a list of specific companies in their portfolio. However, based on the general information provided, Teem Ventures focuses on developing and forming new digital ventures with corporate partners through entrepreneurial execution, but the specific categories of companies they invest in are not detailed in the available sources[1]. 

For a more precise answer, you would need to refer to their official website or recent press releases. However, from the context, it can be inferred that they likely focus on digital ventures and possibly software-enabled services, given the broader context of venture capital firms in New York[3]. 

For a comprehensive list of companies in their portfolio, you would need to consult Teem Ventures' official resources or recent news updates."
Tenfore Holdings,Investor,"Tenfore Holdings has made 20 investments, but the current active portfolio is not explicitly listed in the provided sources. However, we can identify some of the companies they have invested in:

1. **KETOS** - Series C investment on May 21, 2024[1]
2. **Floreo** - Series A investment on October 28, 2022[1]
3. **ThreatBlockr** - Series A - III investment on March 23, 2022[1]
4. **Stardog Union** - Series A investment in 2018[4]

For a comprehensive list of their active portfolio, additional research or direct access to Tenfore Holdings' investment records would be necessary. The sources provided do not include a complete and up-to-date list of their current portfolio companies[1][3][5].","Tenfore Holdings invests in growth-stage companies where technology plays a transformative role, particularly in commerce and Big Data. They focus on investments with a differentiating and defensible commerce or data component[3][5]. 

### Categories of Companies They Invest In:
- **Growth-stage companies**
- **Technology-driven investments**
- **Commerce and Big Data equity/debt investments**
- **Startups with transformative technology roles**"
The Rockefeller Foundation,Investor,"The Rockefeller Foundation is a philanthropic organization focused on promoting human well-being and addressing climate issues, rather than a traditional investor with a portfolio of companies. It does not have a portfolio of companies in the same way that a financial institution or investment firm would. However, it does invest in various initiatives and projects aimed at advancing clean energy and community-focused energy transitions.

For specific details on the companies or initiatives The Rockefeller Foundation is currently supporting, you would need to refer to their recent announcements and press releases, such as the one mentioned in source [3], which details their involvement in energy transition projects and investments in clean energy solutions.

Here is a list of companies or entities mentioned in the context of The Rockefeller Foundation's recent activities:

- **Aligned Climate Capital**: Closes Second Venture Fund at $85M to Scale Clean Energy Companies[1].
- **ACEN Corporation**: Partnering for a pilot project in the Philippines[3].
- **GenZero**: Partnering for a pilot project in the Philippines[3].
- **Keppel**: Partnering for a pilot project in the Philippines[3].
- **Mitsubishi**: Partnering for a pilot project in the Philippines[3].
- **Integrity Council for the Voluntary Carbon Market (ICVCM Limited)**: Receiving a $600,000 grant for a Continuous Improvement Program on transition credits[3].

These entities are involved in initiatives supported by The Rockefeller Foundation, but they are not part of a traditional portfolio of companies.","The Rockefeller Foundation primarily invests in **clean energy and climate transition projects**. Specifically, they are involved in initiatives such as:

- **Energy Transition Projects**: Supporting projects in the Asia-Pacific region to transition to clean, affordable energy, aiming to unlock $110 billion in public and private investment and create $21 billion in economic spillover[2].
- **Voluntary Carbon Market**: Developing a high-integrity threshold for transition credits, ensuring the needs and rights of Indigenous Peoples and local communities are considered[2].
- **Clean Energy Companies**: Investing in companies like BoxPower, BrightNight, CarbonQuest, and others through Aligned Climate Capital[4]."
TMAC,Industry/Strategic,"TMAC (Traditional Mortgage Acceptance Corp.) is a reverse mortgage lender and issuer of Ginnie Mae (GNMA) HECM Mortgage-Backed Securities (HMBS). The companies currently in their active portfolio are not explicitly listed in the provided sources. However, TMAC operates in various channels including wholesale lending, correspondent lending, capital markets, data analytics, and finance, with a retail side operating under the DBA Goodlife Home Loans[4].

For a comprehensive list of companies in TMAC's active portfolio, you would need to refer to their official website or recent financial reports. The sources provided do not specify the current companies in their portfolio.","TMAC, operating in the US, particularly around New York, focuses on reverse mortgage lending and related financial services. The specific categories of companies they invest in or operate include:

- **Reverse Mortgage Lender**: TMAC is a top-tier reverse mortgage lender and issuer of Ginnie Mae (GNMA) HECM Mortgage-Backed Securities (HMBS) [3].
- **Wholesale Lending**: They operate in wholesale lending channels [3].
- **Correspondent Lending**: TMAC also operates in correspondent lending channels [3].
- **Principal-Agent Lending**: They engage in principal-agent lending [3].
- **Retail Lending**: On the retail side, they operate under a DBA called Goodlife Home Loans [3].

These categories reflect their strategic focus on reverse mortgage lending and related financial services."
Trajectory Capital Management,Investor,"Trajectory Ventures, not Trajectory Capital Management, is the entity mentioned in the search results. Trajectory Ventures invests in companies, entrepreneurs, and funds across various industry verticals, driving innovation at all stages of growth and trajectory. However, the specific companies currently in their active portfolio are not listed in the provided sources.

For the most accurate and up-to-date information, you would need to visit Trajectory Ventures' official website or contact them directly. The sources provided do not include a list of their current portfolio companies[1][2].","Trajectory Ventures invests in companies, entrepreneurs, and funds across all industry verticals, driving innovation at all stages of growth and trajectory[1][2]. The specific companies in their portfolio are not listed in the provided sources. However, they focus on technology that will transform industries in the digital age[2]. 

### Categories of Companies They Invest In:
- **Technology**
- **Digital Age Innovators**
- **All Industry Verticals**"
Transnational Life Sciences Ventures,Investor,"The query does not specify the exact name of the investor, ""Transnational Life Sciences Ventures,"" which is not mentioned in the provided sources. However, based on the information given, it seems that the query might be referring to a different investor. Here are the portfolios of the investors mentioned:

- **ICG**: 
  - CuraSen Therapeutics
  - Draig Therapeutics
  - F2G
  - Grey Wolf Therapeutics
  - Wugen Inc
  - Amolyt Pharma[1]

- **TVM Capital**: 
  - Over 150 life science investments, but specific companies are not listed[2]

- **Novo Holdings**: 
  - Private and publicly held companies at all stages of development, but specific companies are not listed[3]

Since ""Transnational Life Sciences Ventures"" is not mentioned in the sources, it is not possible to identify the companies in their active portfolio based on the provided information.","Transnational Life Sciences Ventures (ICG) primarily invests in **clinical-stage biopharmaceutical and biotechnology companies**. The specific companies in their portfolio include:

- **CuraSen Therapeutics**: Developing small molecule therapies for neurodegenerative diseases.
- **Draig Therapeutics**: A clinical-stage neuropsychiatry company.
- **F2G**: A clinical-stage biopharmaceutical company.
- **Grey Wolf Therapeutics**: A clinical-stage drug discovery and development biotechnology company.
- **Wugen Inc.**: Developing off-the-shelf memory natural killer (NK) and CAR-T cell therapies for cancer.
- **Amolyt Pharma**: A clinical-stage biotechnology company focused on rare endocrine and related diseases[1]."
Trinity Financing Investments Corp,Investor,"Trinity Capital Inc., not Trinity Financing Investments Corp, is the entity in question. As of the first quarter of 2025, Trinity Capital's active portfolio includes:

- **Six new portfolio companies** funded with approximately $95 million.
- **19 existing portfolio companies** funded with approximately $125.6 million[2][3].

However, specific company names are not provided in the sources. For detailed information on the companies in Trinity Capital's portfolio, you would need to refer to their investor relations website or recent financial reports, which typically include a list of active portfolio companies[4].","Trinity Capital Inc., not Trinity Financing Investments Corp, is the relevant entity. Trinity Capital Inc. invests in dynamic privately funded growth-oriented companies, specifically focusing on:

- **Privately funded growth-oriented companies**[3].

Their recent Q1 2025 investments include 6 new and 19 existing portfolio companies across various sectors, with a focus on secured loans, equipment financing, and equity investments[1][2]."
True Blue Partners,Investor,"True Blue Partners' current portfolio includes the following companies:

- **Salesforce.com Consulting Partner/ISV**
- **ServiceNow focused ISV**[2]",True Blue Partners primarily invests in companies in the **enterprise AI space**[2]. They also have investments in **Salesforce.com Consulting Partners/ISV** and **ServiceNow focused ISV**[2].
Two Lanterns Venture Capital,Investor,"Two Lanterns Venture Partners has invested in the following companies, as per the available information:

1. **Cooklist** - An all-in-one grocery app that connects directly to grocery store accounts, allowing consumers to track food purchases, expirations, find recipes, create meal plans, and send orders to local stores for pickup or delivery[2].
2. **DriveU.auto** - A teleoperation connectivity platform enabling safe operation of robots and autonomous vehicles using cellular bonding and dynamic encoding. The platform is already deployed on public roads for various use cases, including delivery robots, autonomous trucks, shuttles, and robotaxis[2].
3. **Jotit** - A company leading the digital-paper revolution in schools with the world's first paper-tablet operating system, blending traditional and digital learning while keeping handwriting at its core[2][3].
4. **SEMPRE** - A provider of micro edge datacenters ensuring access to data anytime, anywhere, even in catastrophic conditions. SEMPRE offers high-performance edge computing and diverse, secure communications, including 5G, in a tamper-resistant, EMP-hardened enclosure[2].

These companies are part of Two Lanterns Venture Partners' active portfolio, although the exact number of companies in their portfolio is not specified in the sources provided[1][2][3].","Two Lanterns Venture Capital invests in early-stage software startups, primarily in the US and Israel. The categories of companies they invest in include:

- **Software Startups**
- **Grocery Management Apps** (e.g., Cooklist)
- **Teleoperation and Autonomous Vehicle Platforms** (e.g., DriveU.auto)
- **Digital-Paper Revolution in Schools** (e.g., Jotit)
- **Edge Datacenters and High-Performance Computing** (e.g., SEMPRE)

These investments are focused on innovative technologies and solutions in various sectors[2][3]."
Uncommon Denominator,Investor,"The current companies in the portfolio of Uncommon Denominator are not explicitly listed in the provided sources. However, some notable portfolio companies mentioned include:

- **Negotiatus**
- **Culture Biosciences**

These companies are highlighted in the Unicorn Nest database, but it does not provide a comprehensive list of all active portfolio companies[5]. For the most accurate and up-to-date information, it is recommended to visit the Uncommon Denominator website or contact them directly.","Uncommon Denominator invests in the following categories of companies:

- **Consumer**: Technology-enabled consumer brands with authenticity and marketing that hits a psychological nerve.
- **Software**: SaaS companies that help other businesses either make money or save money.
- **Frontier**: Frontier technologies that rapidly close the gap between a future vision and the present[1][3]."
Valia Ventures,Investor,"The current companies in the portfolio of Valia Ventures include:

1. **Aarmy** - A next-level coaching experience
2. **AvatarOS** - Authentic AI-powered avatars
3. **Bedrock Materials** - Laying a foundation for energy abundance
4. **Built Robotics**

These companies are mentioned in the Valia Ventures portfolio on their official website and other reliable sources[1][2][3].","Valia Ventures invests in early-stage technology companies across various sectors, including fintech, healthcare, consumer, and enterprise software[4]. Their current portfolio includes companies such as:

- **Aarmy**: Next-level coaching experience
- **AvatarOS**: AI-powered avatars
- **Bedrock Materials**: Energy abundance
- **Built Robotics**: Robotics technology

These companies are part of their diverse portfolio, which defies categorization and includes innovative startups at the edge of multiple categories[3]."
VDOSH,Investor,"The information provided does not specify the current companies in the portfolio of VDOSH, which is not mentioned in the sources. However, it does mention New York Ventures, a venture capital arm of New York State, which supports high-growth companies and their partners. New York Ventures is actively deploying over $300 million of capital through equity programs for both direct and indirect investment, but it does not list specific companies in its active portfolio[5].

For specific companies in the portfolio of an investor like VDOSH, you would need to refer to their official statements or financial reports, which are not provided in the given sources. 

If you are looking for companies supported by New York Ventures, it is focused on diverse entrepreneurs, fund managers, and accelerators to fuel New York's innovation ecosystem, but it does not list specific companies[5]. 

For detailed information on the portfolio of a specific investor like VDOSH, you would need to consult their official financial statements or contact them directly.","The current companies in the portfolio of VDOSH, which is a venture capital arm of New York State, invest in **high-growth companies** and **diverse entrepreneurs** across various sectors, including technology, to solve important challenges and fuel New York's innovation ecosystem[5]. 

Specifically, they support companies in areas such as:
- **Technology**
- **Women and minority entrepreneurs**
- **Fund managers**
- **Accelerators**

The exact list of companies is not provided in the given sources. However, the focus is on supporting diverse entrepreneurs and high-growth companies in strategic areas of interest[5]."
Wavemaker 360,Investor,"The current companies in the portfolio of Wavemaker 360 are not explicitly listed in the provided sources. However, Wavemaker 360 is known to invest in early-stage healthcare disruptors, primarily in the areas of health-tech, digital health, medical devices, telehealth, artificial intelligence, pharma-tech, and marketplaces[3]. Specific companies mentioned in the sources include:

- **Materna Medical**: Known for its study on vaginal muscle tightness[3].
- **Regard**: Recognized as one of Fierce Healthcare's Fierce 15 Healthcare Companies[3].
- **Portfolio Company (Global First as NHS Hospital Uses AI for Instant Skin Cancer Checks)**: No specific name mentioned, but it is highlighted as a notable achievement[3].

For a comprehensive list of current portfolio companies, you would need to refer to Wavemaker 360's official portfolio or recent investment announcements.","Wavemaker 360 invests in the following categories of companies:

- **Health-Tech**
- **Digital Health**
- **Medical Devices**
- **Telehealth**
- **Artificial Intelligence**
- **Pharma-Tech**
- **Marketplaces**

These categories are mentioned in the sources provided, specifically in the context of their investments and portfolio companies[1][3][4]."
Wilson Sonsini,NYU,"Wilson Sonsini is a law firm, not a university or a company portfolio. It provides legal services to technology, life sciences, and growth enterprises worldwide, but it does not have a portfolio of companies. The firm is based in Palo Alto, California, and not in New York.

If you are looking for companies that Wilson Sonsini advises or represents, it would be a list of clients rather than a portfolio. However, specific client names are not publicly disclosed by the firm. For detailed information on their clients, you would need to refer to their press releases, case studies, or client testimonials, which are typically not publicly available without subscription or specific request to the firm.

For a comprehensive list of companies they work with, you would need to contact Wilson Sonsini directly or access their client list through their official communications or legal directories. Here is a general overview of the sectors they serve:

- **Technology**
- **Life Sciences**
- **Growth Enterprises**

For more precise information, you would need to consult their official resources or contact them directly[1][3].","Wilson Sonsini primarily represents companies in the following categories:

- **Technology**
- **Life Sciences**
- **Growth Enterprises**
- **Venture-backed Companies**
- **High-growth Industries**

These categories include companies in various sectors such as investment banking, financial services, communications, computer hardware and software, information services, media and entertainment, food and food service, consumer and retail, and biotechnology, medical devices, and global generics[4][5]."
Zenture Capital,Investor,"The current companies in the portfolio of Zenture Capital are not explicitly listed in the provided sources. However, Zenture Capital invests in visionary pre-seed and seed stage startups leveraging AI, Robotics, and Deep Tech to transform core industries, as stated in the ""About Us"" section of their website[1]. For a detailed list of their current portfolio companies, you would need to visit their official portfolio page or contact them directly[2].","The sources do not provide specific information about the companies in the portfolio of Zenture Capital. However, they do offer insights into the types of companies and sectors that various venture capital firms and private equity firms in New York typically invest in:

- **Venture Capital Firms in NYC**: These firms often invest in fintech, SaaS, and biotech companies, as seen with Ramp, Stripe, Datadog, and MongoDB[1].
- **Private Equity Firms in New York**: These firms focus on healthcare, technology, consumer services, and financial services, with companies like Arsenal Capital Partners and Morgan Stanley Capital Partners[2].

Given the lack of specific information about Zenture Capital, it is not possible to identify the exact companies in their portfolio based on the provided sources."
